Label,Tokens
0,"['momentary', 'pleasure', 'helped', 'degree', 'arresting', 'oddity', 'appearance', 'worked', 'phrase', 'go']"
2,"['good', 'mean', 'desire', 'make', 'acquainted', 'shall', 'discover', 'thing', 'wherein', 'must', 'much', 'lay', 'open', 'mine']"
2,"['word', 'worth', 'action', 'utterance', 'power', 'speech', 'stir', 'men', '’', 'blood', 'speak', 'right', 'tell']"
1,"['long', 'enough', 'comfortable', 'meal', 'came', 'back', 'better', 'grown', 'quite', 'cool', 'good', 'manner', 'like', 'able', 'draw']"
0,"['tirade', 'grew', 'uncompromising', 'distorted', 'grin', 'anticipation', 'cloven', 'delighted', 'cry', 'moment', 'announced']"
0,"['wagner', 'played', 'well', 'allusion', 'family', 'said', 'syme', 'firmly', 'aunt', 'played', 'wagner', 'badly', 'painful', 'subject']"
1,"['sin', 'required', 'therefore', 'industriously', 'getting', 'rid', 'subject', 'returned', 'burst']"
0,"['soon', 'regained', 'advantage', 'men', 'march', 'last', 'bulk', 'first', 'building', 'lancy', 'cut', 'sight']"
2,"['may', 'shylock', 'assured', 'may', 'may', 'assured', 'bethink', 'may', 'speak', 'antonio', 'bassanio']"
0,"['nephew', 'come', 'back', 'safe', 'ship', 'looked', 'surprised', 'wo', 'understand', 'suppose', 'unless', 'tell', 'story', 'see']"
1,"['bed', 'usual', 'time', 'idea', 'would', 'entirely', 'destroy', 'comfort', 'must', 'promise', 'sit']"
0,"['feared', 'partly', 'ironical', 'string', 'letter', 'name', 'dr.', 'bull', 'address', 'rate', 'considerably', 'longer', 'communication']"
2,"['king', 'leave', 'chat', 'good', 'berowne', 'prove', 'loving', 'lawful', 'faith', 'torn', 'dumaine', 'ay', 'marry', 'flattery']"
1,"['power', 'almost', 'could', 'hint', 'wish', 'miss', 'bates', 'made', 'appear', 'promised', 'niece', 'account']"
0,"['tune', 'railway', 'wheel', 'saw', 'sick', 'man', 'see', 'pattern', 'wall-paper', 'one', 'calculate', 'turn']"
2,"['sole', 'inheritor', 'perfection', 'man', 'may', 'owe', 'matchless', 'navarre', 'plea', 'le', 'weight', 'aquitaine', 'dowry', 'queen']"
0,"['begun', 'spreading', 'seemed', 'shrink', 'little', 'hissed', 'torch', 'long', 'silver', 'spear', 'water']"
2,"['fear', 'thing', 'sore', 'keeping', 'safe', 'nerissa', '’', 'ring', '_exeunt._', 'merry', 'wife', 'windsor', 'content', 'act', 'scene', 'windsor', 'page', '’']"
2,"['beg', 'life', 'sin', 'heaven', 'let', 'bear', 'granting', 'suit', 'sin', '’', 'make']"
2,"['genius', 'rebuk', '’', 'said', 'mark', 'antony', '’', 'caesar', 'chid', 'sister', 'first', 'put', 'name', 'king']"
0,"['nothing', 'whatever', 'odd', 'except', 'wore', 'pair', 'dark', 'almost', 'opaque', 'spectacle', 'may', 'merely', 'crescendo', 'nervous']"
0,"['lament', 'sad', 'decease', 'heroic', 'worker', 'occupied', 'post', 'last', 'week', 'know', 'service', 'cause', 'considerable']"
0,"['matter', 'night', 'dropped', 'may', 'express', 'night', 'london', 'branch', 'assembles']"
1,"['letter', 'frank', 'met', 'way', 'taken', 'liberty', 'opening']"
2,"['ill', 'gone', 'bed', 'die', 'le', 'threatened', 'king', 'old', 'master', 'must', 'relieved']"
1,"['over-powered', 'find', 'conversable', 'shall', 'glad', 'acquaintance', 'chattering', 'coxcomb', 'occupy']"
0,"['arrest', 'word', 'laid', 'table', 'syme', 'exact', 'facsimile', 'blue', 'card', 'syme']"
2,"['life', 'miracle', 'speak', 'yet', 'gloucester', 'fall', '’', 'edgar', 'dread', 'summit', 'chalky', 'bourn', 'look']"
1,"['always', 'respectable', 'may', 'sensible', 'pleasant', 'body', 'else', 'distinction', 'quite', 'much', 'candour']"
1,"['selfish', 'view', 'view', 'endeavouring', 'allowed', 'opening', 'soothe', 'counsel', 'her.', 'rest']"
0,"['look', 'captive', 'balloon', 'said', 'syme', 'pointed', 'frenzy', 'blaze', 'look', 'captive', 'balloon', 'demanded', 'secretary']"
0,"['summoned', 'beyond', 'vague', 'dark', 'impression', 'something', 'bulky', 'bearded', 'take', 'little', 'supper', 'asked', 'gregory', 'politely', 'pate', 'de', 'foie']"
2,"['deliver', 'portia', 'wife', 'would', 'give', 'little', 'thanks', 'hear', 'make', 'offer', 'gratiano']"
2,"['insociable', 'life', 'change', 'offer', 'made', 'heat', 'blood', 'frost', 'fast', 'hard', 'lodging', 'thin', 'weed', 'nip', 'gaudy', 'blossom']"
1,"['certainly', 'come', 'name', 'day', 'come', 'allow', 'bring', 'jane', 'fairfax', 'name', 'day']"
2,"['wisdom', 'prais', '’', 'harmful', 'mildness', 'albany', 'far', 'eye', 'may', 'pierce', 'tell', 'striving', 'better', 'oft', 'mar', '’', 'well']"
1,"['inconvenience', 'mixture', 'would', 'thing', 'would', 'smallest', 'difficulty', 'every', 'body', 'returning', 'proper']"
1,"['man', 'till', 'actually', 'assured', 'harriet', 'le', 'humble', 'fewer', 'scruple', 'formerly.', 'inferiority', 'whether', 'mind']"
0,"['sort', 'people', 'awaiting', 'examination', 'think', 'already', 'le', 'made', 'mind', 'clear', 'thing']"
0,"['mysterious', 'terror', 'forced', 'king', 'pardon', 'murderer', 'lot', 'alleged', 'witchcraft', 'mixed', 'story', 'go']"
2,"['kill', 'sheep', 'well', 'proved', '’', 'side', 'love', 'hang', '’', 'faith']"
2,"['made', 'five', 'mark', 'ready', 'money', 'marry', 'ginger', 'much', 'request', 'old', 'woman', 'dead']"
1,"['internal', 'suggestion', 'really', 'brother', 'imagined', 'possible', 'man', 'beginning', 'transfer', 'affection']"
1,"['sorry', 'giving', 'pain', 'know', 'worthy', 'people', 'perry', 'tell', 'mr.', 'cole', 'never', 'touch', 'malt', 'liquor']"
0,"['green', 'hill', 'surrey', 'saw', 'final', 'collapse', 'tragedy', 'admirable', 'light', 'grey', 'suit', 'syme', 'set', 'saffron']"
1,"['source', 'repentance', 'misery', 'dissolved', 'it.', 'view', 'give', 'sense', 'behaviour', 'well', 'must']"
2,"['usually', 'men', 'hence', 'palace', 'gate', 'make', 'walk', 'enter', 'banquo', 'fleance', 'torch', 'second']"
2,"['determine', 'whip', 'let', 'carman', 'whip', 'jade', 'valiant', 'heart', '’', 'whipped', 'trade', '_exit._', 'escalus', 'come', 'hither']"
2,"['wrangle', 'bid', 'move', 'away', 'tent', 'cassius', 'enlarge', 'grief', 'give', 'audience', 'cassius', 'pindarus', 'bid', 'commander']"
2,"['course', 'regan', 'wherefore', 'dover', 'sir', 'gloucester', 'would', 'see', 'thy', 'cruel', 'nail', 'pluck', 'poor', 'old', 'eye', 'thy', 'fierce']"
2,"['draw', '_drawing', 'sword._', 'oswald', 'away', 'nothing', 'thee', 'kent', 'draw', 'rascal', 'come', 'letter', 'king']"
0,"['star', 'came', 'seven', 'strange', 'men', 'left', 'alone', 'like', 'seven', 'stone', 'statue', 'chair', 'stone', 'one']"
0,"['evolved', 'humanity', 'certainly', 'confine', 'precious', 'truth', 'fundamental', 'force', 'matter', 'heredity', 'book', 'successful']"
1,"['done', 'expecting', 'course', 'steady', 'reading', 'emma', 'never', 'submit', 'thing', 'requiring', 'industry', 'patience']"
0,"['worked', 'two', 'men', 'much', 'toil', 'went', 'comparatively', 'slowly', 'clear', 'moon', 'lit', 'chiswick', 'gone']"
1,"['table', 'taking', 'spoon', 'jane', 'jane', 'dear', 'jane', 'tippet', 'mrs.', 'weston', 'begs', 'put']"
0,"['singing', 'syme', 'heated', 'head', 'bray', 'brass', 'band', 'seemed', 'like', 'jar', 'jingle', 'barrel-organ', 'leicester', 'square']"
0,"['would', 'glad', 'glass', 'sherry', 'sure', 'keep', 'cold', 'drink', 'success', 'latin', 'champion', 'flambeau']"
2,"['sup', 'water', 'bran', 'dare', 'head', 'fill', 'belly', 'one', 'fruitful', 'meal', 'would', 'set', '’', 'say']"
2,"['son', 'came', 'mind', 'yet', 'mind', 'scarce', 'friend', 'heard', 'since', 'fly', 'wanton']"
1,"['grown', 'vain', 'xii', 'till', 'threatened', 'loss', 'emma', 'never', 'known', 'much']"
1,"['speak', 'michaelmas', 'handsomest', 'man', 'ever', 'man', 'every', 'body', 'look', 'quite']"
1,"['saturday', 'oh', 'meeting', 'certainly', 'to-day', 'abrupt', 'answer', 'denoted', 'impossibility', 'blunder', 'mr']"
1,"['argument', 'prove', 'love', 'think', 'likely', 'thing']"
1,"['married', 'knew', 'resolution', 'enough', 'part', 'harriet', 'necessary', 'burn', 'court-plaister']"
2,"['express', '’', 'ring', 'part', 'finger', 'part', 'life', 'hence', 'bold', 'say', 'bassanio', '’', 'dead', 'nerissa']"
1,"['took', 'place', 'mrs.', 'weston', 'perceived', 'wife', 'standing', 'immediately', 'listening', 'also']"
2,"['doubtful', 'mainly', 'ignorant', 'place', 'skill', 'remembers', 'garment', 'know']"
0,"['beaming', 'brown-bearded', 'man', 'good', 'example', 'silent', 'busy', 'professional', 'class', 'france', 'preserved', 'even', 'perfectly', 'england']"
1,"['party', 'london', 'would', 'arriving', 'alarming', 'change', 'emma', 'thinking', 'one', 'morning', 'must', 'bring']"
2,"['like', 'almost', 'claudio', '_unmuffles', 'claudio._', 'duke', '_to', 'isabella_', 'like', 'brother', 'sake', 'pardoned']"
2,"['wrong', '’', 'doth', 'appear', 'condemn', '’', 'noted', 'lucius', 'pella', 'taking', 'bribe', 'sardians', 'wherein', 'letter', 'praying']"
1,"['permit', 'hasty', 'witty', 'word', 'manner', 'awkward', 'ceremony', 'time', 'receiving', 'wedding', 'visit']"
2,"['serf', 'antonio', 'gratify', 'gentleman', 'mind', 'much', 'bound', '_exeunt', 'duke', 'train._', 'bassanio', 'worthy']"
2,"['cousin', 'lend', 'kind', 'pain', 'find', 'abuse', 'whence', '’', 'ti', 'derived', 'another', 'friar', 'set', 'let']"
2,"['fair', 'beautiful', 'beauteous', 'truer', 'truth', 'commiseration', 'thy', 'heroical', 'vassal', 'magnanimous', 'illustrate', 'king', 'cophetua', 'set', 'eye', 'upon']"
0,"['violet', 'coat', 'turned', 'back', 'walked', 'towards', 'gap', 'hedge', 'let', 'suddenly', 'light', 'white', 'road']"
1,"['imply', ""ma'am"", 'said', 'jane', 'aunt', 'shall', 'join', 'mr', 'elton', 'please', 'dear', 'heart']"
1,"['emma', 'could', 'help', 'diverted', 'perplexity', 'first', 'answer', 'resulting', 'supposed', 'doubt', 'might', 'said']"
2,"['four', 'turtle', 'gone', 'king', 'hence', 'sir', 'away', 'costard', 'walk', 'aside', 'true', 'folk', 'let', 'traitor', 'stay', '_exeunt', 'costard', 'jaquenetta._']"
1,"['churchill', 'entered', 'room', 'emma', 'thinking', 'forgotten', 'think', 'glad', 'see']"
0,"['major', 'must', 'remember', 'mustard', 'vinegar', 'oil', 'vanished', 'cruet', 'burglar', 'know', 'replied', 'brown', 'rather', 'vaguely']"
2,"['song', 'spring', 'daisy', 'pied', 'violet', 'blue', 'lady-smocks', 'silver-white', 'cuckoo-buds', 'yellow', 'hue', 'paint', 'meadow', 'delight', 'cuckoo']"
0,"['time', 'passed', 'battersea', 'came', 'enormous', 'bulk', 'westminster', 'day', 'already', 'begun', 'break', 'broke', 'like']"
1,"['could', 'kept', 'tolerably', 'comfortable', 'almost', 'ceaseless', 'attention', 'daughter', 'side', 'exertion', 'never', 'cost', 'half', 'much']"
2,"['instrument', 'receive', 'cheer', 'may', 'night', 'long', 'never', 'find', 'day', '_exeunt._', 'act', 'scene', 'dunsinane', 'room']"
